hashkey,score,dict_str
df46750812aaa2a173a4c11245522075,0.0,"{'1d_start': 6, 'opt': 'SGD', 'layers': [[0, 1, 3, 2], [1, 1, 3, 4], [2, 2, 2, 2], [2, 2, 3, 2], [1, 0, 2, 3], [0, 2, 1, 2], [4, 2, 7, 0.7180884194237219]]}"
ce4867ac4cd331206dc2af5b70f6c884,0.6511250138282776,"{'1d_start': 4, 'opt': 'adam', 'layers': [[2, 2, 2, 2], [1, 1, 3, 2], [0, 2, 5, 3], [2, 0, 2, 4]]}"
fd1a9f49e67b86b5243a0786d0ad41d1,0.0,"{'1d_start': 5, 'opt': 'adam', 'layers': [[1, 2, 3, 3], [1, 2, 2, 3], [2, 2, 2, 2], [2, 1, 3, 3], [2, 1, 3, 4], [3, 1, 4, 0.3017093831821542], [4, 2, 9, 0.1614676216641734], [4, 1, 1, 0.46709757389997575]]}"
780f43010d2c579d090b541c9633d77d,0.0,"{'1d_start': 7, 'opt': 'adam', 'layers': [[1, 0, 2, 4], [2, 0, 2, 2], [2, 1, 3, 2], [1, 1, 2, 3], [2, 1, 2, 3], [1, 1, 3, 3], [2, 1, 2, 2]]}"
4727c850c8926c2caea2523791f1f07a,0.0,"{'1d_start': 8, 'opt': 'SGD', 'layers': [[0, 0, 2, 4], [2, 0, 3, 3], [0, 0, 5, 2], [0, 0, 1, 4], [1, 2, 2, 4], [0, 1, 3, 4], [2, 0, 3, 2], [1, 2, 3, 3]]}"
7820884874622b528a0f5d36ad073c6a,0.0,"{'1d_start': 5, 'opt': 'SGD', 'layers': [[1, 2, 3, 2], [1, 2, 3, 4], [2, 0, 3, 4], [2, 1, 2, 2], [2, 0, 3, 2], [4, 0, 4, 0.18024163910561117], [4, 0, 9, 0.5131837693025529]]}"
af7b988d7b608de4fe8b48303c1a2dd4,0.166312500834465,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[1, 2, 3, 2], [0, 2, 3, 4], [1, 2, 3, 4], [2, 0, 2, 2], [3, 0, 2, 0.8194592272782729], [3, 1, 2, 0.639255356176587]]}"
b99399fa25a693019c4b0a35ca81f2d7,0.0,"{'1d_start': 6, 'opt': 'SGD', 'layers': [[2, 2, 3, 4], [2, 2, 2, 2], [2, 2, 3, 4], [2, 0, 3, 2], [1, 1, 3, 2], [0, 2, 6, 2]]}"
73bb780d550208b67f8048564db9839a,0.0,"{'1d_start': 6, 'opt': 'adam', 'layers': [[2, 2, 3, 4], [1, 0, 2, 2], [1, 2, 3, 3], [0, 0, 5, 4], [1, 1, 3, 2], [0, 0, 3, 2]]}"
050bcfd02c3cfd0411ebdcc23b794377,0.0,"{'1d_start': 6, 'opt': 'adam', 'layers': [[2, 1, 2, 3], [2, 0, 3, 4], [0, 2, 4, 3], [2, 2, 2, 4], [1, 1, 2, 2], [1, 2, 3, 4]]}"
